trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,RunBlocks.thisRepN,RunBlocks.thisTrialN,RunBlocks.thisN,RunBlocks.thisIndex,RunNumber,TrialBlocks.thisRepN,TrialBlocks.thisTrialN,TrialBlocks.thisN,TrialBlocks.thisIndex,ThoughtNumber,Thought,Intensity,triggerCheck.started,displayWaiting.started,triggerCheck.keys,triggerCheck.rt,ThoughtText.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,16.635930296004517,16.635930296004517,equal,0.44782212599238846,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
1,0,1,0,,,,,,,,,,,,,17.10243128699949,17.10243128699949,equal,0.22251298699120525,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
2,0,2,0,,,,,,,,,,,,,17.36250441300217,17.36250441300217,equal,0.21048996699391864,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
3,0,3,0,,,,,,,,,,,,,17.59323830800713,17.59323830800713,equal,0.236662298993906,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
4,0,4,0,,,,,,,,,,,,,17.852177164008026,17.852177164008026,equal,0.22880039499432314,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
5,0,5,0,,,,,,,,,,,,,18.10221341000579,18.10221341000579,equal,0.22873045700544026,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
6,0,6,0,,,,,,,,,,,,,18.357808956003282,18.357808956003282,equal,0.23426225600996986,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
7,0,7,0,,,,,,,,,,,,,18.61131101399951,18.61131101399951,equal,0.24032897400320508,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
8,0,8,0,,,,,,,,,,,,,18.87591023600544,18.87591023600544,equal,0.23275648699200246,,001,001,2022-12-08_08h47.12.366,fMRI_Stimuli_K_Study_Draft,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,19.147797708006692,,,,,,,
